filename,source_subdir,normalized_schema_iri,injected_subjectOf,detected_profiles,validated_against,schema_errors,target_path,moved,parse_error,framing_error
metadata_10.60707-917f-kr66.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-917f-kr66.json,True,,
metadata_10.60707-bb22-mj07.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-bb22-mj07.json,True,,
metadata_10.60707-bdq3-px39.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-bdq3-px39.json,True,,
metadata_10.60707-by2q-ts31.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-by2q-ts31.json,True,,
metadata_10.60707-c39r-0r37.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-c39r-0r37.json,True,,
metadata_10.60707-c7rk-nk69.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-c7rk-nk69.json,True,,
metadata_10.60707-d62h-j641.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-d62h-j641.json,True,,
metadata_10.60707-dzcq-ym02.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-dzcq-ym02.json,True,,
metadata_10.60707-ejdm-g828.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,1,doc-corediscovery\examples\adaMetadata\metadata_10.60707-ejdm-g828.json,False,,
metadata_10.60707-ek2k-3171.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-ek2k-3171.json,True,,
