DATAFLOW,FREQ,GEO_PICT,URBANIZATION,INDICATOR,SEX,AGE,FISHING_INSHORE,FISHING_NEARSHORE,FISHING_OFFSHORE,FISHING_OTHER_LOCATION,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,DATA_SOURCE,OBS_COMMENT,CONF_STATUS
SPC:DF_FISHING_LOCATION_HIES(1.0),A,CK-2,_T,N,M,Y25T59,YES,_T,_T,YES,2015,32,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,CK-2,_T,N,F,Y25T59,YES,_T,_T,_T,2015,109,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,PW-2,_T,N,M,Y25T59,_T,NO,NO,_T,2013,9,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TO-2,_T,N,F,Y60T999,_T,YES,_T,NO,2021,53,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TV-B,_T,N,M,Y15T24,_T,NO,_T,NO,2015,3,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TO-3,_T,N,M,Y25T59,_T,NO,_T,_T,2021,95,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TV-B,_T,N,M,Y60T999,_T,_T,YES,NO,2015,36,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,MH-1,_T,N,M,_T,NO,NO,_T,NO,2019,53,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,CK-1,_T,N,F,_T,NO,_T,NO,YES,2015,9,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,PW-2,_T,N,M,_T,NO,_T,YES,NO,2013,19,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,MH-3,_T,N,M,_T,_T,_T,NO,NO,2019,402,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,MH-1,_T,N,_T,Y25T59,YES,_T,NO,_T,2019,314,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,MH-5,_T,N,_T,Y60T999,NO,_T,YES,_T,2019,2,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,MH-2,_T,N,_T,Y60T999,YES,_T,_T,NO,2019,13,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-B,_T,N,_T,Y25T59,_T,NO,NO,_T,2019,1311,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,CK-2,_T,N,_T,Y60T999,_T,NO,_T,NO,2015,41,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TO-2,_T,N,_T,_T,YES,NO,YES,_T,2021,18,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TO-2,_T,N,_T,_T,NO,YES,_T,NO,2021,356,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-A,_T,N,_T,_T,_T,_T,NO,NO,2019,1867,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,PW,R,PERCENT,_T,_T,YES,_T,_T,_T,2013,9,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,PW,U,PERCENT,F,Y60T999,NO,_T,_T,NO,2013,2,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,PW,U,PERCENT,M,_T,YES,_T,_T,_T,2013,3,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,PW,_T,PERCENT,F,Y25T59,YES,_T,_T,_T,2013,1,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,PW,_T,PERCENT,F,Y60T999,NO,_T,YES,_T,2013,2,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,PW,_T,PERCENT,_T,Y60T999,_T,NO,_T,NO,2013,2,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,PW-1,U,PERCENT,M,Y25T59,_T,_T,NO,NO,2013,4,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,PW-1,U,PERCENT,M,_T,NO,_T,_T,NO,2013,7,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,PW-1,_T,PERCENT,_T,Y60T999,NO,NO,_T,_T,2013,3,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,PW-2,R,PERCENT,F,_T,_T,YES,_T,NO,2013,2,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,PW-2,_T,PERCENT,M,Y25T59,_T,_T,YES,YES,2013,6,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,CK-2,R,PERCENT,F,Y60T999,YES,_T,NO,_T,2015,19,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,CK-2,R,PERCENT,F,Y60T999,_T,YES,_T,YES,2015,2,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,CK-2,R,PERCENT,M,Y60T999,YES,_T,NO,YES,2015,6,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,CK-2,R,PERCENT,M,_T,NO,YES,_T,_T,2015,11,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,CK-2,_T,PERCENT,_T,Y15T24,NO,YES,_T,NO,2015,29,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,NU,_T,PERCENT,M,Y25T59,NO,YES,_T,_T,2015,15,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,NU,_T,PERCENT,_T,_T,YES,YES,YES,YES,2015,1,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TK,_T,PERCENT,F,Y25T59,_T,YES,_T,_T,2015,10,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TK,_T,PERCENT,M,Y25T59,YES,_T,NO,_T,2015,4,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TK,_T,PERCENT,M,Y25T59,_T,YES,_T,YES,2015,7,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TV,R,PERCENT,F,_T,YES,NO,_T,NO,2015,4,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TV,R,PERCENT,_T,Y25T59,_T,_T,NO,NO,2015,54,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TV,_T,PERCENT,F,Y25T59,NO,_T,_T,NO,2015,17,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TV,_T,PERCENT,M,Y25T59,NO,YES,YES,YES,2015,0,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TV,_T,PERCENT,_T,Y60T999,_T,YES,NO,NO,2015,20,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TV-A,U,PERCENT,M,_T,NO,NO,NO,NO,2015,3,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TV-B,R,PERCENT,F,Y60T999,YES,YES,_T,NO,2015,10,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TV-B,_T,PERCENT,M,Y60T999,NO,NO,NO,_T,2015,7,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TV-B,_T,PERCENT,_T,Y25T59,_T,_T,YES,_T,2015,22,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI,U,PERCENT,_T,Y60T999,YES,NO,_T,NO,2019,13,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI,U,PERCENT,_T,_T,_T,YES,NO,_T,2019,5,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI,_T,PERCENT,_T,Y60T999,YES,NO,YES,_T,2019,1,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-A,U,PERCENT,M,_T,_T,_T,YES,_T,2019,5,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-A,_T,PERCENT,F,Y25T59,_T,NO,NO,NO,2019,9,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-A,_T,PERCENT,F,_T,YES,YES,NO,_T,2019,2,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-B,R,PERCENT,M,Y25T59,YES,YES,NO,NO,2019,1,PERCENT,,,,,
