ResultIdentifier,ResultMeasureValue,UOM,Characteristic,CharacteristicURI,ActivityIdentifier,ActivityDateTime,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,Latitude,Longitude,SampleCollectionMethod,ResultSampleFractionText,ResultValueTypeName,ResultCommentText,DepthMeasure,ResultAnalyticalMethod,MethodName,LastUpdated
STORET-928558028,0.026,mg/l,Phosphorus,ex:phosphorus,AZDEQ_GW-GW-36471.CHEM,2000-06-29T11:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-48923,32.1538719,-110.4542914,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 365.4,EPA 365.4,2022-01-20T16:54:11
STORET-928558100,0.12,mg/l,Phosphorus,ex:phosphorus,AZDEQ_GW-GW-36474.CHEM,2000-06-29T10:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-48922,32.148165,-110.4788658,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 365.4,EPA 365.4,2022-01-20T16:54:12
STORET-928557264,0.044,mg/l,Phosphorus,ex:phosphorus,AZDEQ_GW-GW-36394.CHEM,2000-04-20T03:30:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-48792,32.4563175,-110.6404036,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 365.4,EPA 365.4,2022-01-20T16:54:02
STORET-928557374,0.1,mg/l,Phosphorus,ex:phosphorus,AZDEQ_GW-GW-36402.CHEM,2000-04-19T06:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-48791,32.4925406,-110.6981314,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 365.4,EPA 365.4,2022-01-20T16:54:03
STORET-928630323,2.7,mg/l,Phosphorus,ex:phosphorus,AZDEQ_GW-GW-157042.CHEM,2017-01-09T12:45:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-42037,32.0238889,-112.8922222,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 365.4,EPA 365.4,2022-01-20T17:08:14
STORET-928627918,0.03,mg/l,Phosphorus,ex:phosphorus,AZDEQ_GW-GW-151235.CHEM,2016-02-23T02:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-41860,31.9495836,-112.8016317,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:SM 4500 PE,SM 4500 PE,2022-01-20T17:07:48
STORET-928628140,0.02,mg/l,Phosphorus,ex:phosphorus,AZDEQ_GW-GW-151242.CHEM,2016-02-23T10:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-37184,32.4555556,-112.8308333,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:SM 4500 PE,SM 4500 PE,2022-01-20T17:07:50
STORET-928607139,0.05,mg/l,Phosphorus,ex:phosphorus,AZDEQ_GW-GW-86496.CHEM,2006-03-15T10:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-23282,32.4487753,-111.7528128,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 365.4,EPA 365.4,2022-01-20T17:04:23
NWIS-125119952,363,mg/l,Phosphorus as P,ex:phosphorusasp,nwisaz.01.02300196,2023-02-03T15:30:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-320126112532901,32.0239,-112.8914,ID:USGS; context:USGS; Name:USGS; Equipment:Unknown,Total,Actual,,,,,
NWIS-125119953,358,mg/l,Phosphorus as P,ex:phosphorusasp,nwisaz.01.02300196,2023-02-03T15:30:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-320126112532901,32.0239,-112.8914,ID:USGS; context:USGS; Name:USGS; Equipment:Unknown,Dissolved,Actual,,,,,
NWIS-125120505,29,mg/l,Phosphorus as P,ex:phosphorusasp,nwisaz.01.02300198,2023-02-02T13:30:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-320115112573001,32.0208,-112.9583,ID:4040; context:USGS parameter code 82398; Name:Submersible pump; Equipment:Submersible gear pump,Total,Actual,,,,,
NWIS-125120506,47,mg/l,Phosphorus as P,ex:phosphorusasp,nwisaz.01.02300198,2023-02-02T13:30:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-320115112573001,32.0208,-112.9583,ID:4040; context:USGS parameter code 82398; Name:Submersible pump; Equipment:Submersible gear pump,Dissolved,Actual,,,,,
NWIS-125120227,500,mg/l,Phosphorus as P,ex:phosphorusasp,nwisaz.01.02300197,2023-02-02T17:30:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-315743113050201,31.9619,-113.0839,ID:4040; context:USGS parameter code 82398; Name:Submersible pump; Equipment:Submersible gear pump,Total,Actual,,,,,
NWIS-125120228,214,mg/l,Phosphorus as P,ex:phosphorusasp,nwisaz.01.02300197,2023-02-02T17:30:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-315743113050201,31.9619,-113.0839,ID:4040; context:USGS parameter code 82398; Name:Submersible pump; Equipment:Submersible gear pump,Dissolved,Actual,,,,,
NWIS-125120782,5,mg/l,Phosphorus as P,ex:phosphorusasp,nwisaz.01.02300199,2023-02-03T13:00:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-315232112475501,31.8756,-112.7986,ID:4040; context:USGS parameter code 82398; Name:Submersible pump; Equipment:Submersible gear pump,Total,Actual,,,,,
NWIS-125120783,91,mg/l,Phosphorus as P,ex:phosphorusasp,nwisaz.01.02300199,2023-02-03T13:00:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-315232112475501,31.8756,-112.7986,ID:4040; context:USGS parameter code 82398; Name:Submersible pump; Equipment:Submersible gear pump,Dissolved,Actual,,,,,
NWIS-125119675,10,mg/l,Phosphorus as P,ex:phosphorusasp,nwisaz.01.02300195,2023-02-01T16:00:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-315056112424301,31.8489,-112.7119,ID:4040; context:USGS parameter code 82398; Name:Submersible pump; Equipment:Submersible gear pump,Total,Actual,,,,,
NWIS-81909173,0.008,mg/l,Phosphorus as P,ex:phosphorusasp,nwisaz.01.01000036,2009-12-16T12:45:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-314441110311501,31.7447,-110.5208,ID:4040; context:USGS parameter code 82398; Name:Submersible pump; Equipment:Submersible positive-pressure pump,Dissolved,Actual,,,USGS:CL020,"P, wf, FCC, persulfate CF color",
